brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
2635,for_sale,426900,3,2,0.17,1474450,"Fort Lauderdale",Florida,33312,1459,41003
109212,for_sale,487500,3,2,0.16,488168,"Fort Lauderdale",Florida,33312,1311,44572
32342,for_sale,775000,4,3,0.24,646605,"Fort Lauderdale",Florida,33312,2166,43896
22611,for_sale,699000,3,2,0.18,802539,"Fort Lauderdale",Florida,33312,1728,44466
44046,for_sale,1150000,3,2,0.16,782844,"Fort Lauderdale",Florida,33312,1572,37957
76115,for_sale,899000,3,2,0.22,630632,"Fort Lauderdale",Florida,33312,1494,44459
54224,for_sale,564990,4,2,0.18,1051288,"Fort Lauderdale",Florida,33312,1369,43453
84534,for_sale,674901,3,2,0.18,493676,"Fort Lauderdale",Florida,33312,1535,
81233,for_sale,675000,3,2,0.16,542409,"Fort Lauderdale",Florida,33312,1474,35586
64151,for_sale,510000,2,2,0.17,1495348,"Fort Lauderdale",Florida,33312,1302,41429
51114,for_sale,525000,2,2,NULL,1472284,"Fort Lauderdale",Florida,33312,1036,38742
57984,for_sale,1489000,3,2,0.16,780074,"Fort Lauderdale",Florida,33312,1772,42283
81233,for_sale,849000,3,2,0.22,769740,"Fort Lauderdale",Florida,33312,1462,36528
57984,for_sale,760000,4,3,0.18,809348,"Fort Lauderdale",Florida,33312,1555,42955
16829,for_sale,3900000,4,5,0.99,767969,"Fort Lauderdale",Florida,33312,4317,42940
22611,for_sale,2477888,4,3,0.5,290759,"Fort Lauderdale",Florida,33312,2484,44531
3261,for_sale,1470000,4,4,0.15,1496341,"Fort Lauderdale",Florida,33312,2730,38576
3261,for_sale,1440000,4,4,0.14,1487773,"Fort Lauderdale",Florida,33312,2730,42718
102752,for_sale,950000,6,4,NULL,537722,"Fort Lauderdale",Florida,33312,2400,43857
29746,for_sale,110000,1,2,NULL,1496618,"Fort Lauderdale",Florida,33308,650,
74549,for_sale,170000,1,2,NULL,,"Fort Lauderdale",Florida,33308,756,37398
22611,for_sale,169900,1,1,NULL,1022621,"Fort Lauderdale",Florida,33308,800,
70271,for_sale,415000,2,2,NULL,943888,"Fort Lauderdale",Florida,33308,1610,38154
31641,for_sale,190000,2,1,NULL,784949,"Fort Lauderdale",Florida,33308,875,40310
16829,for_sale,249000,1,1,NULL,988388,"Fort Lauderdale",Florida,33308,800,38722
81619,for_sale,825000,3,2,0.17,679951,"Fort Lauderdale",Florida,33308,1683,44405
109855,for_sale,245000,2,2,NULL,710183,"Fort Lauderdale",Florida,33308,1008,43138
37819,for_sale,325000,2,2,NULL,776017,"Fort Lauderdale",Florida,33308,1210,
25836,for_sale,329900,2,2,NULL,796985,"Fort Lauderdale",Florida,33308,1292,
9387,for_sale,779000,3,2,0.17,570510,"Fort Lauderdale",Florida,33308,1561,33802
53364,for_sale,540000,2,2,0.17,621256,"Fort Lauderdale",Florida,33308,1115,42248
81010,for_sale,225000,1,1,NULL,1022616,"Fort Lauderdale",Florida,33308,800,35639
14714,for_sale,375000,2,1,NULL,776012,"Fort Lauderdale",Florida,33308,1132,40214
79946,for_sale,260000,2,1,NULL,1002832,"Fort Lauderdale",Florida,33308,760,38611
22666,for_sale,449000,2,2,NULL,988424,"Fort Lauderdale",Florida,33308,1290,41337
16829,for_sale,1195000,3,3,0.24,1175538,"Fort Lauderdale",Florida,33308,2545,42445
35072,for_sale,899000,5,4,0.19,1343256,"Fort Lauderdale",Florida,33308,2540,31791
58891,for_sale,349999,1,2,NULL,1338080,"Fort Lauderdale",Florida,33308,850,43403
32342,for_sale,995000,3,3,NULL,959180,"Fort Lauderdale",Florida,33308,2268,43524
76280,for_sale,399900,1,2,NULL,1042889,"Fort Lauderdale",Florida,33308,1054,36109
89072,for_sale,450000,2,2,NULL,1507589,"Fort Lauderdale",Florida,33308,1200,42535
24161,for_sale,445000,2,2,NULL,854927,"Fort Lauderdale",Florida,33308,1200,
109855,for_sale,599000,2,3,NULL,1404065,"Lauderdale By The Sea",Florida,33308,1500,41450
94847,for_sale,599999,2,2,NULL,1206433,"Fort Lauderdale",Florida,33308,1350,41110
70271,for_sale,3950000,4,3,0.32,1366121,"Fort Lauderdale",Florida,33308,2811,44193
81233,for_sale,809000,2,2,NULL,1214533,"Fort Lauderdale",Florida,33308,1450,43746
83066,for_sale,1295000,3,3,0.19,771363,"Lauderdale By The Sea",Florida,33308,2615,36164
65375,for_sale,2395000,3,2,0.22,951477,"Fort Lauderdale",Florida,33308,2025,43598
64017,for_sale,899000,4,4,NULL,685406,"Fort Lauderdale",Florida,33308,2500,
32342,for_sale,1499000,3,4,NULL,959094,"Fort Lauderdale",Florida,33308,2318,38057
70271,for_sale,1100000,3,4,NULL,1210391,"Fort Lauderdale",Florida,33308,2400,35552
98646,for_sale,2795800,4,4,0.18,1014752,"Fort Lauderdale",Florida,33308,2771,
68368,for_sale,760000,2,2,NULL,1152480,"Fort Lauderdale",Florida,33308,1907,44160
30807,for_sale,1585000,4,3,NULL,1298636,"Lauderdale By The Sea",Florida,33308,2100,43236
29746,for_sale,790000,2,2,NULL,1152479,"Fort Lauderdale",Florida,33308,1596,35240
72193,for_sale,999900,2,2,NULL,959096,"Fort Lauderdale",Florida,33308,1537,35724
29746,for_sale,3300000,3,2,0.2,965137,"Fort Lauderdale",Florida,33308,2437,34058
22611,for_sale,850000,3,3,NULL,1100077,"Fort Lauderdale",Florida,33308,2323,
79300,for_sale,709900,1,2,NULL,1338169,"Lauderdale By The Sea",Florida,33308,1080,40492
37788,for_sale,14900000,6,8,0.57,951476,"Fort Lauderdale",Florida,33308,10549,42020
6973,for_sale,335000,1,1,NULL,1456100,"Fort Lauderdale",Florida,33304,975,41318
